# @columns  FCI                CCSDT              CCSDT(Q)           ODC-12                ODCL3
0.900      -108.323020648884  -108.322505569281  -108.323011961660  -108.318105089447371  -108.323579689561143
0.925      -108.379863239056  -108.379279036939  -108.379854410745  -108.374517943987328  -108.380433135187758
0.950      -108.425162754856  -108.424499220756  -108.425154193098  -108.419352515214683  -108.425740999441473
0.975      -108.460648675842  -108.459894061235  -108.460641004425  -108.454336566097197  -108.461232275519251
1.000      -108.487813612940  -108.486954501364  -108.487807735888  -108.480961220022735  -108.488399259320715
1.025      -108.507948903816  -108.506970085833  -108.507946082390  -108.500516752249851  -108.508533235136468
1.050      -108.522173826252  -108.521058185463  -108.522175771993  -108.514121884291725  -108.522753795722110
1.075      -108.531459258541  -108.530187675321  -108.531468243624  -108.522747680340686  -108.532032674521133
1.100      -108.536646713716  -108.535197995791  -108.536665700881  -108.527236780022534  -108.537212922404095
1.125      -108.538463705589  -108.536814556385  -108.538496500286  -108.528318998725794  -108.539024524344967
1.150      -108.537536370914  -108.535661406445  -108.537587796624  -108.526624207136962  -108.538097298408388
1.175      -108.534400172114  -108.532272001207  -108.534476272314  -108.522693321701723  -108.534971945653808
1.200      -108.529509364177  -108.527098746679  -108.529617632771  -108.516988056867930  -108.530109923990665
1.225      -108.523245729466  -108.520521829900  -108.523395372654  -108.509900097151188  -108.523902700198988
1.250      -108.515926900805  -108.512857654896  -108.516129131580  -108.501759663604872  -108.516680545310805
1.275      -108.507814416449  -108.504367032354  -108.508082785135  -108.492844007129108  -108.508721117634963
1.300      -108.499121516084  -108.495263133160  -108.499472278472  -108.483385471898956  -108.500257600532578
1.325      -108.490020590794  -108.485719123514  -108.490473116229  -108.473579178491676  -108.491486237040576
1.350      -108.480650157916  -108.475875355116  -108.481227376566  -108.463589743367038  -108.482572717692491
1.375      -108.471121222960  -108.465845981143  -108.471850111951  -108.453557007651739  -108.473657209817887
1.400      -108.461522920592  -108.455724896360  -108.462435023600  -108.443600386318906  -108.464857817044248
1.425      -108.451927369161  -108.445590943887  -108.453059336190  -108.433821437695428  -108.456272525319207
1.450      -108.442393717398  -108.435512379043  -108.443787841353  -108.424305322764440  -108.447980489464754
1.475      -108.432971407613  -108.425550624612  -108.434676114860  -108.415121089954397  -108.440043797247512
1.500      -108.423702713117  -108.415763383440  -108.425772933848  -108.406322247569463  -108.432510939031445
1.525      -108.414624625671  -108.406207192848  -108.417121926781  -108.397947859071905  -108.425424521474284
1.550      -108.405770183334  -108.396939508507  -108.408762477139  -108.390025327730342  -108.418841423307612
1.575      -108.397169327067  -108.388020396952  -108.400729876423  -108.382575959575817  -108.412918614013591
1.600      -108.388849374255  -108.379513893531  -108.393054682687  -108.375628157610464  -108.408467955601765

